movieId,title
1,Toy Story (1995)
2,Jumanji (1995)
3,Grumpier Old Men (1995)
5,Father of the Bride Part II (1995)
6,Heat (1995)
7,Sabrina (1995)
9,Sudden Death (1995)
10,GoldenEye (1995)
11,"American President, The (1995)"
12,Dracula: Dead and Loving It (1995)
14,Nixon (1995)
15,Cutthroat Island (1995)
16,Casino (1995)
17,Sense and Sensibility (1995)
18,Four Rooms (1995)
19,Ace Ventura: When Nature Calls (1995)
20,Money Train (1995)
21,Get Shorty (1995)
22,Copycat (1995)
23,Assassins (1995)
24,Powder (1995)
25,Leaving Las Vegas (1995)
26,Othello (1995)
28,Persuasion (1995)
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
31,Dangerous Minds (1995)
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
34,Babe (1995)
36,Dead Man Walking (1995)
39,Clueless (1995)
41,Richard III (1995)
44,Mortal Kombat (1995)
45,To Die For (1995)
46,How to Make an American Quilt (1995)
47,Seven (a.k.a. Se7en) (1995)
48,Pocahontas (1995)
50,"Usual Suspects, The (1995)"
52,Mighty Aphrodite (1995)
58,"Postman, The (Postino, Il) (1994)"
60,"Indian in the Cupboard, The (1995)"
62,Mr. Holland's Opus (1995)
65,Bio-Dome (1996)
69,Friday (1995)
70,From Dusk Till Dawn (1996)
73,"Misérables, Les (1995)"
76,Screamers (1995)
79,"Juror, The (1996)"
81,Things to Do in Denver When You're Dead (1995)
86,White Squall (1996)
88,Black Sheep (1996)
95,Broken Arrow (1996)
100,City Hall (1996)
101,Bottle Rocket (1996)
104,Happy Gilmore (1996)
105,"Bridges of Madison County, The (1995)"
107,Muppet Treasure Island (1996)
110,Braveheart (1995)
111,Taxi Driver (1976)
112,Rumble in the Bronx (Hont faan kui) (1995)
122,Boomerang (1992)
125,Flirting With Disaster (1996)
135,Down Periscope (1996)
140,Up Close and Personal (1996)
141,"Birdcage, The (1996)"
144,"Brothers McMullen, The (1995)"
145,Bad Boys (1995)
147,"Basketball Diaries, The (1995)"
150,Apollo 13 (1995)
151,Rob Roy (1995)
153,Batman Forever (1995)
154,Beauty of the Day (Belle de jour) (1967)
157,Canadian Bacon (1995)
158,Casper (1995)
159,Clockers (1995)
160,Congo (1995)
161,Crimson Tide (1995)
162,Crumb (1994)
163,Desperado (1995)
164,Devil in a Blue Dress (1995)
165,Die Hard: With a Vengeance (1995)
168,First Knight (1995)
170,Hackers (1995)
172,Johnny Mnemonic (1995)
173,Judge Dredd (1995)
175,Kids (1995)
176,Living in Oblivion (1995)
180,Mallrats (1995)
181,Mighty Morphin Power Rangers: The Movie (1995)
185,"Net, The (1995)"
186,Nine Months (1995)
188,"Prophecy, The (1995)"
193,Showgirls (1995)
194,Smoke (1995)
196,Species (1995)
198,Strange Days (1995)
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
204,Under Siege 2: Dark Territory (1995)
207,"Walk in the Clouds, A (1995)"
208,Waterworld (1995)
215,Before Sunrise (1995)
216,Billy Madison (1995)
218,Boys on the Side (1995)
222,Circle of Friends (1995)
223,Clerks (1994)
224,Don Juan DeMarco (1995)
225,Disclosure (1994)
227,Drop Zone (1994)
230,Dolores Claiborne (1995)
231,Dumb & Dumber (Dumb and Dumber) (1994)
232,Eat Drink Man Woman (Yin shi nan nu) (1994)
233,Exotica (1994)
234,Exit to Eden (1994)
235,Ed Wood (1994)
236,French Kiss (1995)
237,Forget Paris (1995)
239,"Goofy Movie, A (1995)"
246,Hoop Dreams (1994)
247,Heavenly Creatures (1994)
248,Houseguest (1994)
249,Immortal Beloved (1994)
252,I.Q. (1994)
253,Interview with the Vampire: The Vampire Chronicles (1994)
256,Junior (1994)
257,Just Cause (1995)
260,Star Wars: Episode IV - A New Hope (1977)
261,Little Women (1994)
262,"Little Princess, A (1995)"
265,Like Water for Chocolate (Como agua para chocolate) (1992)
266,Legends of the Fall (1994)
267,Major Payne (1995)
272,"Madness of King George, The (1994)"
273,Mary Shelley's Frankenstein (Frankenstein) (1994)
276,Milk Money (1994)
277,Miracle on 34th Street (1994)
280,Murder in the First (1995)
281,Nobody's Fool (1994)
282,Nell (1994)
288,Natural Born Killers (1994)
290,Once Were Warriors (1994)
292,Outbreak (1995)
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
296,Pulp Fiction (1994)
300,Quiz Show (1994)
303,"Quick and the Dead, The (1995)"
306,Three Colors: Red (Trois couleurs: Rouge) (1994)
307,Three Colors: Blue (Trois couleurs: Bleu) (1993)
308,Three Colors: White (Trzy kolory: Bialy) (1994)
314,"Secret of Roan Inish, The (1994)"
315,"Specialist, The (1994)"
316,Stargate (1994)
317,"Santa Clause, The (1994)"
318,"Shawshank Redemption, The (1994)"
319,Shallow Grave (1994)
327,Tank Girl (1995)
329,Star Trek: Generations (1994)
332,Village of the Damned (1995)
